LAD,Local Authority,2011,2016,2021,2026,2031,2036,2041,2046,2051,2056,2061,2066,2071,2076,2081
E06000005,Darlington,52390,55373,56631,57472,58182,59066,59952,61013,61897,61507,61228,61197,61417,61570,61724
E06000001,Hartlepool,34278,36074,36972,37520,37981,38559,39137,39830,40408,40153,39971,39951,40094,40195,40295
E06000002,Middlesbrough,63096,66825,68392,69407,70260,71331,72401,73682,74752,74281,73944,73906,74172,74358,74544
E06000003,Redcar and Cleveland,46093,48480,49551,50288,50908,51682,52457,53385,54160,53818,53575,53547,53740,53874,54009
E06000004,Stockton-on-Tees,86836,91621,93884,95279,96450,97915,99384,101145,102612,101965,101503,101451,101816,102071,102326
E06000047,County Durham,197763,210150,212938,216103,218757,222090,225414,229412,232740,231272,230225,230107,230934,231512,232091
E06000057,Northumberland,124243,130911,133320,135297,136966,139048,141133,143634,145715,144796,144140,144067,144584,144946,145309
E08000037,Gateshead,91991,97898,99375,100847,102094,103646,105197,107061,108615,107930,107441,107386,107772,108042,108312
E08000021,Newcastle upon Tyne,170689,182545,184691,187430,189738,192629,195515,198976,201859,200586,199677,199575,200293,200794,201296
E08000022,North Tyneside,84644,89956,91223,92574,93714,95143,96568,98277,99702,99073,98625,98574,98928,99176,99424
E08000023,South Tyneside,50505,53957,54862,55673,56359,57217,58075,59103,59960,59582,59312,59282,59495,59644,59793
E08000024,Sunderland,126360,134719,136502,138525,140233,142366,144500,147061,149191,148250,147579,147503,148033,148404,148775
E06000008,Blackburn with Darwen,66451,68204,68648,69667,70525,71599,72671,73959,75028,74555,74217,74179,74446,74632,74819
E06000009,Blackpool,65218,67173,67667,68671,69515,70575,71629,72900,73956,73490,73157,73119,73382,73566,73750
E06000006,Halton,59171,61127,61971,62894,63666,64635,65602,66765,67734,67307,67002,66968,67208,67377,67545
E06000007,Warrington,118524,125176,128027,129928,131527,133528,135527,137927,139925,139042,138413,138342,138839,139187,139535
E06000050,Cheshire West and Chester,163097,172019,175246,177845,180036,182772,185509,188800,191534,190326,189464,189367,190048,190523,191000
E06000049,Cheshire East,187480,197923,202414,205415,207944,211113,214275,218068,221230,219835,218839,218727,219513,220063,220613
E07000026,Allerdale,41778,44496,44996,45664,46228,46930,47635,48477,49183,48873,48651,48627,48801,48923,49046
E07000027,Barrow-in-Furness,32296,34698,35284,35809,36248,36800,37349,38013,38563,38320,38146,38127,38264,38360,38456
E07000028,Carlisle,58456,62449,63302,64239,65032,66021,67010,68198,69187,68751,68439,68404,68650,68822,68994
E07000029,Copeland,35679,38325,38796,39372,39855,40462,41070,41797,42404,42137,41946,41924,42075,42180,42286
E07000030,Eden,29669,31380,31657,32127,32522,33018,33511,34106,34600,34382,34226,34209,34332,34417,34504
E07000031,South Lakeland,53627,57032,57656,58513,59234,60134,61034,62118,63016,62619,62335,62303,62527,62684,62840
E08000001,Bolton,118525,125239,126582,128462,130042,132024,134003,136380,138352,137479,136857,136787,137278,137622,137966
E08000002,Bury,75634,79713,80299,81488,82495,83747,85003,86508,87763,87209,86815,86770,87082,87300,87518
E08000003,Manchester,329136,348138,350836,356046,360428,365911,371391,377972,383452,381034,379308,379114,380477,381429,382383
E08000004,Oldham,91840,96691,97431,98875,100095,101618,103137,104966,106488,105816,105337,105283,105662,105926,106191
